Rank2013,Rank2012,School,State,School.Type,Student.Survey.Rank,Employer.Survey.Rank,MBA.Feeder.School.Rank,Academic.Quality.Rank,Index.Number,Annual.Tuition,Full.Time.Enrollment,Median.Starting.Salary,Student.Faculty.Ratio,Average.SAT.Score,Teaching.Quality.Grade,Facilities.and.Services.Grade,Job.Placement.Grade
30,30,Southern Methodist (Cox),TX,Private,10,70,23,46,68.95,37050,1071,52000,24,1283,A+,A+,A+
31,33,USC ( Marshall),CA,Private,62,11,22,54,68.8,43722,3688,54000,24.4,1384,B,B,A
32,24,Wisconsin - Madison,WI,Public,30,29,18,46,68.72,10273,1772,52000,23,1270,B,A+,A+
33,39,Texas A & M (Mays),TX,Public,23,7,42,75,68.72,9330,4211,52000,25,1230,A,A,A+
34,68,Ohio State (Fisher),OH,Public,45,13,74,35,68.52,9168,4202,50000,19,1305,B,A+,A
35,31,Lehigh,PA,Private,49,55,40,14,67.59,41920,1270,57000,16.4,1279,A+,B,A+
36,34,Babson,MA,Private,24,60,35,20,67.48,41888,2015,50000,21,1267,A+,B,B
37,46,Florida (Warrington),FL,Public,70,8,68,46,67.1,6170,1582,51000,18.9,1286,C,A,A
38,35,Santa Clara (Leavey),CA,Private,26,90,31,20,66.35,40572,1385,52500,16,1275,A+,A+,A
39,41,Minnesota (Carlson),MN,Public,28,38,34,46,65.64,12560,2259,51000,27,1305,A,A,A+
40,49,Fordham (Gabelli),NY,Private,57,68,86,20,64.05,41000,2024,57500,18.1,1230,A,B,A
41,37,Georgia Tech (Scheller),GA,Public,33,48,25,46,63.7,7718,1246,50000,15,1291,A,B,A+
42,43,Elon (Love),NC,Private,36,37,85,35,62.9,28633,1347,47000,26,1218,A,A+,C
43,51,Michigan State (Broad),MI,Public,39,12,38,92,62.44,13800,1837,52000,26.2,1127,B,A,A+
44,50,Georgia (Terry),GA,Public,13,39,47,75,62.32,7646,2396,47750,17.6,1255,A,A+,A+
45,64,Massachusetts - Amherst (Isenberg),MA,Public,48,23,93,66,60.66,1714,2286,53500,21,1242,B,A+,B
46,40,San Diego,CA,Private,31,102,104,35,60.29,39486,1069,50000,15.7,1216,A,A,B
47,48,Butler,IN,Private,61,104,30,20,60.17,32280,788,47000,18.3,1143,A,B,A
48,55,U. of Washington (Foster),WA,Public,58,49,45,54,59.6,12383,1595,52000,17.7,1290,B,A,A
49,56,Tulane (Freeman),LA,Private,100,78,20,20,59.08,41500,1615,55000,15.5,1327,B,C,C
50,42,Arizona (Eller),AZ,Public,56,30,51,66,58.89,9114,1567,50000,14,1135,B,A,B
